"locale","kind","key"
"ar","missing","translation.billing.resumeSubscriptionDesc"
"ar","missing","translation.billing.cancelSubscription"
"ar","missing","translation.billing.cancelSubscriptionDesc"
"ar","missing","translation.billing.billingEmail"
"ar","missing","translation.billing.notSet"
"ar","missing","translation.billing.change"
"ar","missing","translation.billing.invoiceHistory"
"ar","missing","translation.billing.noInvoices"
"ar","missing","translation.billing.noInvoicesDesc"
"ar","missing","translation.billing.date"
"ar","missing","translation.billing.amount"
"ar","missing","translation.billing.status"
"ar","missing","translation.billing.actions"
"ar","missing","translation.billing.viewInvoice"
"ar","missing","translation.billing.downloadPdf"
"ar","missing","translation.billing.cancelModalTitle"
"ar","missing","translation.billing.cancelModalText"
"ar","missing","translation.billing.keepSubscription"
"ar","missing","translation.billing.enterEmail"
"ar","missing","translation.billing.emailNotice"
"ar","missing","translation.billing.continue"
"ar","missing","translation.settings.apiKeys"
"ar","missing","translation.settings.apiKeysDesc"
"ar","missing","translation.settings.ollama"
"ar","missing","translation.settings.ollamaDesc"
"ar","missing","translation.settings.defaultsDesc"
"ar","missing","translation.settings.languageDesc"
"ar","missing","translation.settings.platforms"
"ar","missing","translation.settings.platformsDesc"
"ar","missing","translation.settings.disconnected"
"ar","missing","translation.settings.accountData"
"ar","missing","translation.settings.accountDataDesc"
"ar","missing","translation.settings.exportTitle"
"ar","missing","translation.settings.exportDesc"
"ar","missing","translation.settings.exportAction"
"ar","missing","translation.settings.exportSuccess"
"ar","missing","translation.settings.exportError"
"ar","missing","translation.settings.deleteAccountTitle"
"ar","missing","translation.settings.deleteAccountDesc"
"ar","missing","translation.settings.deletePassword"
"ar","missing","translation.settings.deletePasswordPlaceholder"
"ar","missing","translation.settings.deleteConfirmation"
"ar","missing","translation.settings.deleteAccountAction"
"ar","missing","translation.settings.deleteAccountError"
"ar","missing","translation.post.copyToClipboard"
"ar","missing","translation.post.social.justNow"
"ar","missing","translation.post.social.like"
"ar","missing","translation.post.social.comment"
"ar","missing","translation.post.social.repost"
"ar","missing","translation.post.social.send"
"ar","missing","translation.post.social.mockBio"
"ar","missing","translation.post.social.first"
"ar","missing","translation.common.delete"
"ar","missing","translation.common.edit"
"ar","missing","translation.viral.title"
"ar","missing","translation.viral.subtitle"
"ar","missing","translation.viral.searchPlaceholder"
"ar","missing","translation.viral.allCategories"
"ar","missing","translation.viral.postsFound"
"ar","missing","translation.viral.noResults"
"ar","missing","translation.viral.noResultsDesc"
"ar","missing","translation.viral.viewPost"
"ar","missing","translation.viral.likes"
"ar","missing","translation.viral.comments"
"ar","missing","translation.viral.shares"
"ar","missing","translation.viral.useAsInspiration"
"ar","missing","translation.hooks.title"
"ar","missing","translation.hooks.subtitle"
"ar","missing","translation.hooks.topicLabel"
"ar","missing","translation.hooks.topicPlaceholder"
"ar","missing","translation.hooks.platform"
"ar","missing","translation.hooks.hookCount"
"ar","missing","translation.hooks.generate"
"ar","missing","translation.hooks.generating"
"ar","missing","translation.hooks.craftingHooks"
"ar","missing","translation.hooks.results"
"ar","missing","translation.hooks.hooksGenerated"
"ar","missing","translation.hooks.useHook"
"ar","missing","translation.hooks.topicRequired"
"ar","missing","translation.carousel.title"
"ar","missing","translation.carousel.subtitle"
"ar","missing","translation.carousel.topicLabel"
"ar","missing","translation.carousel.topicPlaceholder"
"ar","missing","translation.carousel.platform"
"ar","missing","translation.carousel.slideCount"
"ar","missing","translation.carousel.generate"
"ar","missing","translation.carousel.generating"
"ar","missing","translation.carousel.crafting"
"ar","missing","translation.carousel.caption"
"ar","missing","translation.carousel.slides"
"ar","missing","translation.carousel.thread"
"ar","missing","translation.carousel.copyAll"
"ar","missing","translation.carousel.hashtags"
"ar","missing","translation.carousel.topicRequired"
"ar","missing","translation.templates.title"
"ar","missing","translation.templates.subtitle"
"ar","missing","translation.templates.searchPlaceholder"
"ar","missing","translation.templates.templates"
"ar","missing","translation.templates.noResults"
"ar","missing","translation.templates.noResultsDesc"
"ar","missing","translation.templates.more"
"ar","missing","translation.templates.useTemplate"
"ar","missing","translation.templates.preview"
"ar","missing","translation.templates.fillVariables"
"ar","missing","translation.templates.generating"
"ar","missing","translation.templates.generateFromTemplate"
"ar","missing","translation.templates.generatedContent"
"ar","missing","translation.templates.fillAllVars"
"ar","missing","translation.repurpose.title"
"ar","missing","translation.repurpose.subtitle"
"ar","missing","translation.repurpose.contentLabel"
"ar","missing","translation.repurpose.contentPlaceholder"
"ar","missing","translation.repurpose.source"
"ar","missing","translation.repurpose.targets"
"ar","missing","translation.repurpose.repurpose"
"ar","missing","translation.repurpose.repurposing"
"ar","missing","translation.repurpose.adapting"
"ar","missing","translation.repurpose.results"
"ar","missing","translation.repurpose.versions"
"ar","missing","translation.repurpose.copyAdapted"
"ar","missing","translation.repurpose.overLimit"
"ar","missing","translation.repurpose.contentRequired"
"ar","missing","translation.repurpose.targetRequired"
"ar","missing","translation.repurpose.platformsSelected"
"ar","missing","translation.hashtags.title"
"ar","missing","translation.hashtags.subtitle"
"ar","missing","translation.hashtags.topicLabel"
"ar","missing","translation.hashtags.topicPlaceholder"
"ar","missing","translation.hashtags.platform"
"ar","missing","translation.hashtags.count"
"ar","missing","translation.hashtags.research"
"ar","missing","translation.hashtags.researching"
"ar","missing","translation.hashtags.analyzing"
"ar","missing","translation.hashtags.selected"
"ar","missing","translation.hashtags.total"
"ar","missing","translation.hashtags.copySelected"
"ar","missing","translation.hashtags.copyAll"
"ar","missing","translation.hashtags.trending"
"ar","missing","translation.hashtags.popular"
"ar","missing","translation.hashtags.niche"
"ar","missing","translation.hashtags.preview"
"ar","missing","translation.hashtags.topicRequired"
"ar","missing","translation.styles.title"
"ar","missing","translation.styles.subtitle"
"ar","missing","translation.styles.createNew"
"ar","missing","translation.styles.noStyles"
"ar","missing","translation.styles.noStylesDesc"
"ar","missing","translation.styles.createFirst"
"ar","missing","translation.styles.createTitle"
"ar","missing","translation.styles.nameLabel"
"ar","missing","translation.styles.namePlaceholder"
"ar","missing","translation.styles.descriptionLabel"
"ar","missing","translation.styles.descriptionPlaceholder"
"ar","missing","translation.styles.samplesLabel"
"ar","missing","translation.styles.samplesPlaceholder"
"ar","missing","translation.styles.samplesHint"
"ar","missing","translation.styles.analyzeAndSave"
"ar","missing","translation.styles.analyzing"
"ar","missing","translation.styles.created"
"ar","missing","translation.styles.deleted"
"ar","missing","translation.styles.nameRequired"
"ar","missing","translation.styles.samplesRequired"
"ar","missing","translation.styles.profile"
"ar","missing","translation.styles.samples"
"ar","missing","translation.styles.generateWithStyle"
"ar","missing","translation.images.title"
"ar","missing","translation.images.subtitle"
"ar","missing","translation.images.promptLabel"
"ar","missing","translation.images.promptPlaceholder"
"ar","missing","translation.images.style"
"ar","missing","translation.images.size"
"ar","missing","translation.images.sizeHint"
"ar","missing","translation.images.generate"
"ar","missing","translation.images.generating"
"ar","missing","translation.images.creating"
"ar","missing","translation.images.generated"
"ar","missing","translation.images.gallery"
"ar","missing","translation.images.imagesCount"
"ar","missing","translation.images.noImages"
"ar","missing","translation.images.noImagesDesc"
"ar","missing","translation.images.download"
"ar","missing","translation.images.downloadFailed"
"ar","missing","translation.images.promptRequired"
"ar","missing","translation.marketing.nav.features"
"ar","missing","translation.marketing.nav.pricing"
"ar","missing","translation.marketing.nav.faq"
"ar","missing","translation.marketing.nav.signIn"
"ar","missing","translation.marketing.nav.getStarted"
"ar","missing","translation.marketing.hero.badge"
"ar","missing","translation.marketing.hero.titleLine1"
"ar","missing","translation.marketing.hero.titleLine2"
"ar","missing","translation.marketing.hero.titleLine3"
"ar","missing","translation.marketing.hero.subtitle"
"ar","missing","translation.marketing.hero.cta"
"ar","missing","translation.marketing.hero.secondaryCta"
"ar","missing","translation.marketing.hero.badge1"
"ar","missing","translation.marketing.hero.badge2"
"ar","missing","translation.marketing.hero.badge3"
"ar","missing","translation.marketing.hero.mockInput"
"ar","missing","translation.marketing.hero.mockButton"
"ar","missing","translation.marketing.hero.mockSave"
"ar","missing","translation.marketing.socialProof.title"
"ar","missing","translation.marketing.socialProof.subtitle"
"ar","missing","translation.marketing.features.badge"
"ar","missing","translation.marketing.features.title"
"ar","missing","translation.marketing.features.subtitle"
"ar","missing","translation.marketing.features.viewAll"
"ar","missing","translation.marketing.features.multiAI.title"
"ar","missing","translation.marketing.features.multiAI.desc"
"ar","missing","translation.marketing.features.platforms.title"
"ar","missing","translation.marketing.features.platforms.desc"
"ar","missing","translation.marketing.features.viral.title"
"ar","missing","translation.marketing.features.viral.desc"
"ar","missing","translation.marketing.features.hooks.title"
"ar","missing","translation.marketing.features.hooks.desc"
"ar","missing","translation.marketing.features.carousel.title"
"ar","missing","translation.marketing.features.carousel.desc"
"ar","missing","translation.marketing.features.repurpose.title"
"ar","missing","translation.marketing.features.repurpose.desc"
"ar","missing","translation.marketing.features.style.title"
"ar","missing","translation.marketing.features.style.desc"
"ar","missing","translation.marketing.features.images.title"
"ar","missing","translation.marketing.features.images.desc"
"ar","missing","translation.marketing.howItWorks.badge"
"ar","missing","translation.marketing.howItWorks.title"
"ar","missing","translation.marketing.howItWorks.subtitle"
"ar","missing","translation.marketing.howItWorks.step1.title"
"ar","missing","translation.marketing.howItWorks.step1.desc"
"ar","missing","translation.marketing.howItWorks.step2.title"
"ar","missing","translation.marketing.howItWorks.step2.desc"
"ar","missing","translation.marketing.howItWorks.step3.title"
"ar","missing","translation.marketing.howItWorks.step3.desc"
"ar","missing","translation.marketing.platforms.linkedin.desc"
"ar","missing","translation.marketing.platforms.twitter.desc"
"ar","missing","translation.marketing.platforms.instagram.desc"
"ar","missing","translation.marketing.platforms.facebook.desc"
"ar","missing","translation.marketing.platforms.tiktok.desc"
"ar","missing","translation.marketing.platforms.pinterest.desc"
"ar","missing","translation.marketing.platformShowcase.title"
"ar","missing","translation.marketing.platformShowcase.subtitle"
"ar","missing","translation.marketing.pricing.title"
"ar","missing","translation.marketing.pricing.subtitle"
"ar","missing","translation.marketing.pricing.month"
"ar","missing","translation.marketing.pricing.popular"
"ar","missing","translation.marketing.pricing.viewFull"
"ar","missing","translation.marketing.pricing.free.name"
"ar","missing","translation.marketing.pricing.free.f1"
"ar","missing","translation.marketing.pricing.free.f2"
"ar","missing","translation.marketing.pricing.free.f3"
"ar","missing","translation.marketing.pricing.free.f4"
"ar","missing","translation.marketing.pricing.free.cta"
"ar","missing","translation.marketing.pricing.pro.name"
"ar","missing","translation.marketing.pricing.pro.f1"
"ar","missing","translation.marketing.pricing.pro.f2"
"ar","missing","translation.marketing.pricing.pro.f3"
"ar","missing","translation.marketing.pricing.pro.f4"
"ar","missing","translation.marketing.pricing.pro.cta"
"ar","missing","translation.marketing.pricing.business.name"
"ar","missing","translation.marketing.pricing.business.f1"
"ar","missing","translation.marketing.pricing.business.f2"
"ar","missing","translation.marketing.pricing.business.f3"
"ar","missing","translation.marketing.pricing.business.f4"
"ar","missing","translation.marketing.pricing.business.cta"
"ar","missing","translation.marketing.testimonials.title"
"ar","missing","translation.marketing.testimonials.subtitle"
"ar","missing","translation.marketing.testimonials.t1.quote"
"ar","missing","translation.marketing.testimonials.t1.role"
"ar","missing","translation.marketing.testimonials.t2.quote"
"ar","missing","translation.marketing.testimonials.t2.role"
"ar","missing","translation.marketing.testimonials.t3.quote"
"ar","missing","translation.marketing.testimonials.t3.role"
"ar","missing","translation.marketing.faqPreview.title"
"ar","missing","translation.marketing.faqPreview.q1"
"ar","missing","translation.marketing.faqPreview.a1"
"ar","missing","translation.marketing.faqPreview.q2"
"ar","missing","translation.marketing.faqPreview.a2"
"ar","missing","translation.marketing.faqPreview.q3"
"ar","missing","translation.marketing.faqPreview.a3"
"ar","missing","translation.marketing.faqPreview.q4"
"ar","missing","translation.marketing.faqPreview.a4"
"ar","missing","translation.marketing.faqPreview.viewAll"
"ar","missing","translation.marketing.finalCta.badge"
"ar","missing","translation.marketing.finalCta.title"
"ar","missing","translation.marketing.finalCta.subtitle"
"ar","missing","translation.marketing.finalCta.cta"
"ar","missing","translation.marketing.finalCta.note"
"ar","missing","translation.marketing.footer.product"
"ar","missing","translation.marketing.footer.features"
"ar","missing","translation.marketing.footer.pricing"
"ar","missing","translation.marketing.footer.faq"
"ar","missing","translation.marketing.footer.changelog"
"ar","missing","translation.marketing.footer.roadmap"
"ar","missing","translation.marketing.footer.tools"
"ar","missing","translation.marketing.footer.viralLibrary"
"ar","missing","translation.marketing.footer.hookGenerator"
"ar","missing","translation.marketing.footer.carouselCreator"
"ar","missing","translation.marketing.footer.repurposer"
"ar","missing","translation.marketing.footer.imageGen"
"ar","missing","translation.marketing.footer.company"
"ar","missing","translation.marketing.footer.about"
"ar","missing","translation.marketing.footer.blog"
"ar","missing","translation.marketing.footer.contact"
"ar","missing","translation.marketing.footer.careers"
"ar","missing","translation.marketing.footer.legal"
"ar","missing","translation.marketing.footer.privacy"
"ar","missing","translation.marketing.footer.terms"
"ar","missing","translation.marketing.footer.cookies"
"ar","missing","translation.marketing.footer.gdpr"
"ar","missing","translation.marketing.footer.newsletterTitle"
"ar","missing","translation.marketing.footer.newsletterDesc"
"ar","missing","translation.marketing.footer.emailPlaceholder"
"ar","missing","translation.marketing.footer.subscribe"
"ar","missing","translation.marketing.footer.subscribed"
"ar","missing","translation.marketing.footer.madeWithAI"
"ar","missing","translation.marketing.footer.madeWith"
"ar","missing","translation.marketing.footer.andAI"
"ar","missing","translation.pricing.badge"
"ar","missing","translation.pricing.title"
"ar","missing","translation.pricing.subtitle"
"ar","missing","translation.pricing.monthly"
"ar","missing","translation.pricing.yearly"
"ar","missing","translation.pricing.save20"
"ar","missing","translation.pricing.perMonth"
"ar","missing","translation.pricing.youSave"
"ar","missing","translation.pricing.year"
"ar","missing","translation.pricing.mostPopular"
"ar","missing","translation.pricing.includes"
"ar","missing","translation.pricing.free.name"
"ar","missing","translation.pricing.free.desc"
"ar","missing","translation.pricing.free.cta"
"ar","missing","translation.pricing.free.f1"
"ar","missing","translation.pricing.free.f2"
"ar","missing","translation.pricing.free.f3"
"ar","missing","translation.pricing.free.f4"
"ar","missing","translation.pricing.free.f5"
"ar","missing","translation.pricing.free.f6"
"ar","missing","translation.pricing.free.f7"
"ar","missing","translation.pricing.free.f8"
"ar","missing","translation.pricing.free.f9"
"ar","missing","translation.pricing.free.f10"
"ar","missing","translation.pricing.free.f11"
"ar","missing","translation.pricing.free.f12"
"ar","missing","translation.pricing.pro.name"
"ar","missing","translation.pricing.pro.desc"
"ar","missing","translation.pricing.pro.cta"
"ar","missing","translation.pricing.pro.f1"
"ar","missing","translation.pricing.pro.f2"
"ar","missing","translation.pricing.pro.f3"
"ar","missing","translation.pricing.pro.f4"
"ar","missing","translation.pricing.pro.f5"
"ar","missing","translation.pricing.pro.f6"
"ar","missing","translation.pricing.pro.f7"
"ar","missing","translation.pricing.pro.f8"
"ar","missing","translation.pricing.pro.f9"
"ar","missing","translation.pricing.pro.f10"
"ar","missing","translation.pricing.pro.f11"
"ar","missing","translation.pricing.pro.f12"
"ar","missing","translation.pricing.pro.f13"
"ar","missing","translation.pricing.pro.f14"
"ar","missing","translation.pricing.pro.f15"
"ar","missing","translation.pricing.business.name"
"ar","missing","translation.pricing.business.desc"
"ar","missing","translation.pricing.business.cta"
"ar","missing","translation.pricing.business.f1"
"ar","missing","translation.pricing.business.f2"
"ar","missing","translation.pricing.business.f3"
"ar","missing","translation.pricing.business.f4"
"ar","missing","translation.pricing.business.f5"
"ar","missing","translation.pricing.business.f6"
"ar","missing","translation.pricing.business.f7"
"ar","missing","translation.pricing.business.f8"
"ar","missing","translation.pricing.business.f9"
"ar","missing","translation.pricing.business.f10"
"ar","missing","translation.pricing.business.f11"
"ar","missing","translation.pricing.guarantee.title"
"ar","missing","translation.pricing.guarantee.desc"
"ar","missing","translation.pricing.faqTitle"
"ar","missing","translation.pricing.faqSubtitle"
"ar","missing","translation.pricing.faq.q1"
"ar","missing","translation.pricing.faq.a1"
"ar","missing","translation.pricing.faq.q2"
"ar","missing","translation.pricing.faq.a2"
"ar","missing","translation.pricing.faq.q3"
"ar","missing","translation.pricing.faq.a3"
"ar","missing","translation.pricing.faq.q4"
"ar","missing","translation.pricing.faq.a4"
"ar","missing","translation.pricing.faq.q5"
"ar","missing","translation.pricing.faq.a5"
"ar","missing","translation.pricing.faq.q6"
"ar","missing","translation.pricing.faq.a6"
"ar","missing","translation.pricing.ctaBadge"
"ar","missing","translation.pricing.ctaTitle"
"ar","missing","translation.pricing.ctaSubtitle"
"ar","missing","translation.pricing.ctaButton"
"ar","missing","translation.features.badge"
"ar","missing","translation.features.title"
"ar","missing","translation.features.titleHighlight"
"ar","missing","translation.features.subtitle"
"ar","missing","translation.features.ctaBadge"
"ar","missing","translation.features.ctaTitle"
"ar","missing","translation.features.ctaSubtitle"
"ar","missing","translation.features.ctaButton"
"ar","missing","translation.features.ctaPricing"
"ar","missing","translation.features.category.contentGen"
"ar","missing","translation.features.category.contentGenDesc"
"ar","missing","translation.features.category.platformMgmt"
"ar","missing","translation.features.category.platformMgmtDesc"
"ar","missing","translation.features.category.inspiration"
"ar","missing","translation.features.category.inspirationDesc"
"ar","missing","translation.features.category.advanced"
"ar","missing","translation.features.category.advancedDesc"
"ar","missing","translation.features.category.organization"
"ar","missing","translation.features.category.organizationDesc"
"ar","missing","translation.features.multiAI.title"
"ar","missing","translation.features.multiAI.desc"
"ar","missing","translation.features.multiAI.b1"
"ar","missing","translation.features.multiAI.b2"
"ar","missing","translation.features.multiAI.b3"
"ar","missing","translation.features.multiAI.b4"
"ar","missing","translation.features.tones.title"
"ar","missing","translation.features.tones.desc"
"ar","missing","translation.features.tones.b1"
"ar","missing","translation.features.tones.b2"
"ar","missing","translation.features.tones.b3"
"ar","missing","translation.features.tones.b4"
"ar","missing","translation.features.languages.title"
"ar","missing","translation.features.languages.desc"
"ar","missing","translation.features.languages.b1"
"ar","missing","translation.features.languages.b2"
"ar","missing","translation.features.languages.b3"
"ar","missing","translation.features.languages.b4"
"ar","missing","translation.features.sixPlatforms.title"
"ar","missing","translation.features.sixPlatforms.desc"
"ar","missing","translation.features.sixPlatforms.b1"
"ar","missing","translation.features.sixPlatforms.b2"
"ar","missing","translation.features.sixPlatforms.b3"
"ar","missing","translation.features.sixPlatforms.b4"
"ar","missing","translation.features.repurpose.title"
"ar","missing","translation.features.repurpose.desc"
"ar","missing","translation.features.repurpose.b1"
"ar","missing","translation.features.repurpose.b2"
"ar","missing","translation.features.repurpose.b3"
"ar","missing","translation.features.repurpose.b4"
"ar","missing","translation.features.viralLibrary.title"
"ar","missing","translation.features.viralLibrary.desc"
"ar","missing","translation.features.viralLibrary.b1"
"ar","missing","translation.features.viralLibrary.b2"
"ar","missing","translation.features.viralLibrary.b3"
"ar","missing","translation.features.viralLibrary.b4"
"ar","missing","translation.features.hookGen.title"
"ar","missing","translation.features.hookGen.desc"
"ar","missing","translation.features.hookGen.b1"
"ar","missing","translation.features.hookGen.b2"
"ar","missing","translation.features.hookGen.b3"
"ar","missing","translation.features.hookGen.b4"
"ar","missing","translation.features.templates.title"
"ar","missing","translation.features.templates.desc"
"ar","missing","translation.features.templates.b1"
"ar","missing","translation.features.templates.b2"
"ar","missing","translation.features.templates.b3"
"ar","missing","translation.features.templates.b4"
"ar","missing","translation.features.carousel.title"
"ar","missing","translation.features.carousel.desc"
"ar","missing","translation.features.carousel.b1"
"ar","missing","translation.features.carousel.b2"
"ar","missing","translation.features.carousel.b3"
"ar","missing","translation.features.carousel.b4"
"ar","missing","translation.features.styleClone.title"
"ar","missing","translation.features.styleClone.desc"
"ar","missing","translation.features.styleClone.b1"
"ar","missing","translation.features.styleClone.b2"
"ar","missing","translation.features.styleClone.b3"
"ar","missing","translation.features.styleClone.b4"
"ar","missing","translation.features.imageGen.title"
"ar","missing","translation.features.imageGen.desc"
"ar","missing","translation.features.imageGen.b1"
"ar","missing","translation.features.imageGen.b2"
"ar","missing","translation.features.imageGen.b3"
"ar","missing","translation.features.imageGen.b4"
"ar","missing","translation.features.hashtags.title"
"ar","missing","translation.features.hashtags.desc"
"ar","missing","translation.features.hashtags.b1"
"ar","missing","translation.features.hashtags.b2"
"ar","missing","translation.features.hashtags.b3"
"ar","missing","translation.features.hashtags.b4"
"ar","missing","translation.features.history.title"
"ar","missing","translation.features.history.desc"
"ar","missing","translation.features.history.b1"
"ar","missing","translation.features.history.b2"
"ar","missing","translation.features.history.b3"
"ar","missing","translation.features.history.b4"
"ar","missing","translation.features.calendar.title"
"ar","missing","translation.features.calendar.desc"
"ar","missing","translation.features.calendar.b1"
"ar","missing","translation.features.calendar.b2"
"ar","missing","translation.features.calendar.b3"
"ar","missing","translation.features.calendar.b4"
"ar","missing","translation.features.analytics.title"
"ar","missing","translation.features.analytics.desc"
"ar","missing","translation.features.analytics.b1"
"ar","missing","translation.features.analytics.b2"
"ar","missing","translation.features.analytics.b3"
"ar","missing","translation.features.analytics.b4"
"ar","missing","translation.faq.badge"
"ar","missing","translation.faq.title"
"ar","missing","translation.faq.subtitle"
"ar","missing","translation.faq.searchPlaceholder"
"ar","missing","translation.faq.noResults"
"ar","missing","translation.faq.clearSearch"
"ar","missing","translation.faq.ctaTitle"
"ar","missing","translation.faq.ctaSubtitle"
"ar","missing","translation.faq.ctaButton"
"ar","missing","translation.faq.ctaContact"
"ar","missing","translation.faq.general.title"
"ar","missing","translation.faq.general.q1"
"ar","missing","translation.faq.general.a1"
"ar","missing","translation.faq.general.q2"
"ar","missing","translation.faq.general.a2"
"ar","missing","translation.faq.general.q3"
"ar","missing","translation.faq.general.a3"
"ar","missing","translation.faq.general.q4"
"ar","missing","translation.faq.general.a4"
"ar","missing","translation.faq.general.q5"
"ar","missing","translation.faq.general.a5"
"ar","missing","translation.faq.ai.title"
"ar","missing","translation.faq.ai.q1"
"ar","missing","translation.faq.ai.a1"
"ar","missing","translation.faq.ai.q2"
"ar","missing","translation.faq.ai.a2"
"ar","missing","translation.faq.ai.q3"
"ar","missing","translation.faq.ai.a3"
"ar","missing","translation.faq.ai.q4"
"ar","missing","translation.faq.ai.a4"
"ar","missing","translation.faq.ai.q5"
"ar","missing","translation.faq.ai.a5"
"ar","missing","translation.faq.pricing.title"
"ar","missing","translation.faq.pricing.q1"
"ar","missing","translation.faq.pricing.a1"
"ar","missing","translation.faq.pricing.q2"
"ar","missing","translation.faq.pricing.a2"
"ar","missing","translation.faq.pricing.q3"
"ar","missing","translation.faq.pricing.a3"
"ar","missing","translation.faq.pricing.q4"
"ar","missing","translation.faq.pricing.a4"
"ar","missing","translation.faq.pricing.q5"
"ar","missing","translation.faq.pricing.a5"
"ar","missing","translation.faq.pricing.q6"
"ar","missing","translation.faq.pricing.a6"
"ar","missing","translation.faq.platforms.title"
"ar","missing","translation.faq.platforms.q1"
"ar","missing","translation.faq.platforms.a1"
"ar","missing","translation.faq.platforms.q2"
"ar","missing","translation.faq.platforms.a2"
"ar","missing","translation.faq.platforms.q3"
"ar","missing","translation.faq.platforms.a3"
"ar","missing","translation.faq.platforms.q4"
